age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1887,40, United-States, >50K
29, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad,9, Separated, Tech-support, Not-in-family, White, Female,0,0,26, United-States, <=50K
56, Self-emp-not-inc, 10th,6, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
31, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
31, Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States, <=50K
46, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
46, ?, Bachelors,13, Divorced, ?, Not-in-family, White, Female,0,0,8, United-States, <=50K
26, Private, Assoc-acdm,12, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,4650,0,37, United-States, <=50K
67, ?, HS-grad,9, Widowed, ?, Unmarried, White, Male,0,0,3, United-States, <=50K
48, Self-emp-inc, Masters,14, Married-spouse-absent, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,50, India, <=50K
43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
69, Self-emp-not-inc, 7th-8th,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, <=50K
73, Self-emp-not-inc, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,0,24, United-States, <=50K
27, Private, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,80, United-States, >50K
45, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,55, United-States, >50K
29, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
20, Private, Some-college,10, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
30, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2057,40, United-States, <=50K
43, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
73, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,16, Canada, <=50K
22, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
53, Federal-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,1887,40, Philippines, >50K
24, Private, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,65, United-States, <=50K
23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico, <=50K
42, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
68, Self-emp-not-inc, 11th,7, Never-married, Farming-fishing, Unmarried, White, Male,0,0,20, United-States, <=50K
37, Self-emp-not-inc, Some-college,10, Separated, Other-service, Own-child, White, Female,0,0,40, Cuba, <=50K
41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
37, Private, Bachelors,13, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,30, United-States, >50K
44, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,7298,0,42, United-States, >50K
31, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
54, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
28, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,2202,0,48, United-States, <=50K
35, Private, Bachelors,13, Separated, Exec-managerial, Unmarried, White, Female,0,0,42, United-States, <=50K
28, Private, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
31, State-gov, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,55, United-States, >50K
59, Federal-gov, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Unmarried, Black, Female,0,0,38, Germany, <=50K
51, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,60, United-States, >50K
20, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
62, Self-emp-inc, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
25, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Federal-gov, Some-college,10, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,35, United-States, <=50K
49, Private, Some-college,10, Separated, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, >50K
39, Local-gov, Some-college,10, Divorced, Prof-specialty, Own-child, White, Female,0,0,45, United-States, <=50K
29, Private, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, Other, Male,0,0,40, Ecuador, <=50K
58, Self-emp-not-inc, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
61, Private, 7th-8th,4, Widowed, Other-service, Unmarried, Black, Female,0,0,38, United-States, <=50K
38, ?, Assoc-voc,11, Separated, ?, Unmarried, White, Female,0,0,25, United-States, <=50K
56, Self-emp-not-inc, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
23, Private, Assoc-acdm,12, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 9th,5, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, Philippines, <=50K
19, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
32, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,37, United-States, <=50K
36, Private, 12th,8, Never-married, Exec-managerial, Not-in-family, White, Male,4650,0,50, United-States, <=50K
40, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
57, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
56, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
53, Self-emp-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,48, United-States, >50K
22, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
49, Local-gov, Masters,14, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
46, Federal-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
54, Private, Preschool,1, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, United-States, >50K
33, Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Local-gov, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, 7th-8th,4, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, United-States, <=50K
29, Self-emp-not-inc, Bachelors,13, Separated, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,0,0,38, United-States, <=50K
35, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1672,50, United-States, <=50K
40, Private, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States, <=50K
29, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K
52, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad,9, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
36, ?, Assoc-acdm,12, Married-civ-spouse, ?, Wife, Black, Female,0,0,21, Haiti, <=50K
17, Private, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,24, United-States, <=50K
35, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
52, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,3103,0,30, United-States, >50K
40, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
18, ?, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, >50K
43, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
44, Federal-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, <=50K
18, Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,30, United-States, <=50K
35, Private, 10th,6, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
65, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,20, United-States, <=50K
44, Private, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
39, State-gov, HS-grad,9, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,5178,0,40, United-States, >50K
42, ?, Some-college,10, Divorced, ?, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad,9, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,0,0,55, United-States, <=50K
37, ?, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States, <=50K
61, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
20, Self-emp-not-inc, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,12, Germany, <=50K
49, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,56, United-States, >50K
42, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
51, Federal-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,43, United-States, <=50K
26, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,60, United-States, <=50K
50, Private, HS-grad,9, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Federal-gov, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,97, United-States, <=50K
43, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,7688,0,40, United-States, >50K
55, Private, HS-grad,9, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
52, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, ?, <=50K
39, Private, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, 12th,8, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
31, Self-emp-inc, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20, United-States, >50K
53, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
24, Private, 12th,8, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, United-States, <=50K
56, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
51, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,47, United-States, >50K
42, Private, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
32, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,25, United-States, <=50K
23, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
41, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
17, Private, 12th,8, Never-married, Sales, Not-in-family, White, Female,0,0,10, ?, <=50K
47, Private, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, <=50K
48, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
54, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,96, United-States, <=50K
30, ?, 10th,6, Divorced, ?, Unmarried, White, Male,0,0,40, United-States, <=50K
22, Private, 11th,7, Widowed, Sales, Own-child, Black, Female,0,0,35, United-States, <=50K
27, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
35, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Japan, <=50K
67, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States, <=50K
25, Private, Some-college,10, Never-married, Exec-managerial, Own-child, White, Male,0,0,46, United-States, <=50K
27, Self-emp-inc, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,45, United-States, <=50K
74, Private, Bachelors,13, Widowed, Other-service, Not-in-family, White, Female,0,0,8, United-States, <=50K
30, Private, Bachelors,13, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
